question	answer
how did you get it?	i don't know. maybe it was from a shopping cart.
i don't know. maybe it was from a shopping cart.	those shopping carts are dangerous.
those shopping carts are dangerous.	especially the metal ones.
especially the metal ones.	i don't park at a store that uses metal shopping carts.
i don't park at a store that uses metal shopping carts.	that's a good idea, but there was a good sale at this store.
that's a good idea, but there was a good sale at this store.	did you save any money on the sale?
did you save any money on the sale?	yes, i did. i saved about $50.
yes, i did. i saved about $50.	that's great.
that's great.	yes, except this dent will cost about $150.
did you see "titanic"?	yes. it is a great movie.
yes. it is a great movie.	i saw it twelve times.
i saw it twelve times.	i saw it eight times.
i saw it eight times.	i have the dvd.
i have the dvd.	so do i.
so do i.	let's go to your home.
let's go to your home.	we can watch my dvd.
we can watch my dvd.	and then we can go to my home.
and then we can go to my home.	and watch your dvd.
and watch your dvd.	i always cry at the end.
i always cry at the end.	me too. it's so sad.
let's play cards.	i don't know any card games.
i don't know any card games.	i'll teach you one.
i'll teach you one.	okay. what will you teach me?
okay. what will you teach me?	it's called poker.
it's called poker.	is it easy to learn?
is it easy to learn?	yes, it will only take about 30 minutes.
yes, it will only take about 30 minutes.	okay. teach me how to play.
okay. teach me how to play.	we each get five cards.
we each get five cards.	oh, look. i have four tens.
oh, look. i have four tens.	that's great, but you're not supposed to tell me.
that's great, but you're not supposed to tell me.	oh. sorry. okay, i don't have four tens.
i'm a good card player.	why is that?
why is that?	because i watch the other players.
because i watch the other players.	what do you mean?
what do you mean?	people will tell you if they have a good hand.
people will tell you if they have a good hand.	how do they do that?
how do they do that?	for example, a friend of mine licks his lips.
for example, a friend of mine licks his lips.	when he licks his lips, you know he has a good hand?
when he licks his lips, you know he has a good hand?	i know he has a good hand, so i don't bet.
i know he has a good hand, so i don't bet.	he never wins your money?
he never wins your money?	nope, and it drives him crazy.
nope, and it drives him crazy.	he knows you can't read his mind. maybe he thinks you're cheating.
turn the radio down, please.	but i'm listening to it.
but i'm listening to it.	well, listen to it more quietly.
well, listen to it more quietly.	i can't wait till i grow up.
i can't wait till i grow up.	what will you do?
what will you do?	i will play the radio as loud as i want.
i will play the radio as loud as i want.	that's okay with me.
that's okay with me.	i will have a radio in every room of my house.
i will have a radio in every room of my house.	remind me to never visit you.
remind me to never visit you.	all the radios will be on extra loud.
all the radios will be on extra loud.	your neighbors will hate you.
your neighbors will hate you.	if they don't like it, they can move.
i hope i win the lotto.	your chances are very small.
your chances are very small.	but you can't win if you don't play.
but you can't win if you don't play.	ha! you can't win if you do play.
ha! you can't win if you do play.	someone has to win.
someone has to win.	that's what everyone says.
that's what everyone says.	it might as well be me.
it might as well be me.	that's what everyone says.
that's what everyone says.	you're trying to tell me something.
you're trying to tell me something.	that didn't take long.
that didn't take long.	you think i should quit playing.
you think i should quit playing.	save your money for school.
what's on tv?	nothing much.
nothing much.	what about the baseball game?
what about the baseball game?	it got rained out.
it got rained out.	rained out?
rained out?	yes, rained out.
yes, rained out.	how could that be?
how could that be?	well, you can't play baseball in a rainstorm.
well, you can't play baseball in a rainstorm.	i thought they were playing under a dome.
i thought they were playing under a dome.	the dome doesn't close.
the dome doesn't close.	why doesn't it close?
why doesn't it close?	who knows? they said they'll fix it before next season.
can i try your coffee?	sure. here you go.
sure. here you go.	hmm, that's not bad.
hmm, that's not bad.	there's nothing in it.
there's nothing in it.	what do you mean?
what do you mean?	i mean, it's just coffee.
i mean, it's just coffee.	i figured that.
i figured that.	it's not too bitter for you?
it's not too bitter for you?	it's a little bitter, but it's okay.
it's a little bitter, but it's okay.	there's no sugar or cream in it.
there's no sugar or cream in it.	no, it's a taste you have to get used to.
no, it's a taste you have to get used to.	sort of like beer.
let's take a walk.	what's the weather like?
what's the weather like?	let me step outside and see.
let me step outside and see.	it's a little chilly, right?
it's a little chilly, right?	yes, it is.
yes, it is.	i'll put on my cap.
i'll put on my cap.	wear a jacket, too.
wear a jacket, too.	i wonder if i should bring my gloves.
i wonder if i should bring my gloves.	maybe you should, just in case it gets colder.
maybe you should, just in case it gets colder.	i'll put a glove in each pocket.
i'll put a glove in each pocket.	we'll get warmer as we walk.
we'll get warmer as we walk.	yes, but it gets colder as the sun goes down.
look at the car chase on tv!	that driver is crazy.
that driver is crazy.	i can't believe he hasn't crashed.
i can't believe he hasn't crashed.	how fast is he going?
how fast is he going?	they say he's going 80 miles per hour.
they say he's going 80 miles per hour.	he's going to kill someone.
he's going to kill someone.	look! he just hit that car.
look! he just hit that car.	oh, my goodness. no one is safe on the streets.
oh, my goodness. no one is safe on the streets.	now he's slowing down.
now he's slowing down.	maybe he ran out of gas.
maybe he ran out of gas.	look! he just got out of the car and started running.
look! he just got out of the car and started running.	i hope the police catch him.
tv news is so stupid.	they shouldn't even call it news.
they shouldn't even call it news.	last night they told us about a cat in a sofa.
last night they told us about a cat in a sofa.	yesterday they told us about a dog in a pipe.
yesterday they told us about a dog in a pipe.	last week they told us about a bear in a back yard.
last week they told us about a bear in a back yard.	last month they told us about a mouse in a restaurant.
last month they told us about a mouse in a restaurant.	the weatherman tells us the temperature in every town.
the weatherman tells us the temperature in every town.	the sports guy shows us players fighting.
the sports guy shows us players fighting.	they always tell us "what's next."
they always tell us "what's next."	they always make "what's next" sound exciting, but it never is.
they always make "what's next" sound exciting, but it never is.	it's more like news for kids.
it's more like news for kids.	they should have kid reporters.
i love my computer.	computers are so cool.
computers are so cool.	i love to go online.
i love to go online.	the internet is amazing.
the internet is amazing.	you can travel all over the world.
you can travel all over the world.	i know. i went to china yesterday.
i know. i went to china yesterday.	what did you do?
what did you do?	i stood on the great wall and looked all around.
i stood on the great wall and looked all around.	what was it like?
what was it like?	it was like the real thing.
it was like the real thing.	it was like being there?
it was like being there?	yes, i felt like i was actually there.
the beatles are the best.	they are the best musical group ever.
they are the best musical group ever.	i love all their songs.
i love all their songs.	i don't know which one i like the best.
i don't know which one i like the best.	i like the ones i can sing along with.
i like the ones i can sing along with.	so do i, like "she loves you."
so do i, like "she loves you."	"she loves you, yeah, yeah, yeah!..."
"she loves you, yeah, yeah, yeah!..."	"Â…and you know you should be glad!"
"Â…and you know you should be glad!"	what a great song.
what a great song.	how about "let it be?"
how about "let it be?"	oh, yes! "let it be, let it beÂ…"
oh, yes! "let it be, let it beÂ…"	"Â…there will be an answer, let it be!"
let's go to a movie.	i'd rather not.
i'd rather not.	why not?
why not?	you know i don't like crowds.
you know i don't like crowds.	let's go to an early movie.
let's go to an early movie.	okay, that won't be very crowded.
okay, that won't be very crowded.	what would you like to see?
what would you like to see?	oh, i don't care. you're the one who wants to go out.
oh, i don't care. you're the one who wants to go out.	well, i want to see "the pursuit of happyness."
well, i want to see "the pursuit of happyness."	what have you heard about it?
what have you heard about it?	it's based on a true story about a divorced man and his young son.
it's based on a true story about a divorced man and his young son.	well, i hope it has a happy ending.
what's your favorite thing to do?	i like to watch people.
i like to watch people.	that's your favorite thing to do?
that's your favorite thing to do?	well, it's one of them.
well, it's one of them.	where do you go to watch people?
where do you go to watch people?	my girlfriend and i sit outside starbucks.
my girlfriend and i sit outside starbucks.	that sounds like a good spot.
that sounds like a good spot.	we watch people walk by with their dogs.
we watch people walk by with their dogs.	i guess you see lots of different dogs.
i guess you see lots of different dogs.	we don't even know what kind most of them are.
we don't even know what kind most of them are.	there are lots of different kinds, but they all have one thing in common.
there are lots of different kinds, but they all have one thing in common.	yes, they love to sniff each other when they meet.
they call him father dollar bill.	yes, he was on the tv news today.
yes, he was on the tv news today.	every easter sunday he gives away money.
every easter sunday he gives away money.	is it his money?
is it his money?	no. movie stars give him money to give to homeless people.
no. movie stars give him money to give to homeless people.	how much money does he give away?
how much money does he give away?	this year he gave away $15,000.
this year he gave away $15,000.	that's a lot of money.
that's a lot of money.	he gave $100 to people in wheelchairs.
he gave $100 to people in wheelchairs.	what about the other homeless people?
what about the other homeless people?	they got $1 each.
they got $1 each.	people stood in line just to get one dollar?!
old movies are the best.	even though they're in black and white.
even though they're in black and white.	a good story is more important than color.
a good story is more important than color.	actors didn't curse back then.
actors didn't curse back then.	and there was no violence.
and there was no violence.	people today don't like that.
people today don't like that.	no, today people like lots of action.
no, today people like lots of action.	i like a good story.
i like a good story.	i like to see actors who are like real people.
i like to see actors who are like real people.	like real people with real problems.
like real people with real problems.	they still make movies like that.
they still make movies like that.	yes, but they never make much money.
do you get pbs on tv?	yes, everybody gets the public broadcasting system.
yes, everybody gets the public broadcasting system.	it puts me to sleep.
it puts me to sleep.	tell me about it.
tell me about it.	a gardening show follows a knitting show.
a gardening show follows a knitting show.	a cooking show follows a sewing show.
a cooking show follows a sewing show.	a travel show follows another travel show.
a travel show follows another travel show.	i'll say! i've gone around the world a dozen times already!
i'll say! i've gone around the world a dozen times already!	now they're adding old tv shows to the old movies.
now they're adding old tv shows to the old movies.	i sure would like to see something interesting for a change.
i sure would like to see something interesting for a change.	if more people donate money, pbs could offer new shows.
if more people donate money, pbs could offer new shows.	who wants to donate? public tv should be free.
i love to watch "judge judy."	is that a tv show?
is that a tv show?	yes. it's on every afternoon.
yes. it's on every afternoon.	what's so good about it?
what's so good about it?	they have interesting lawsuits.
they have interesting lawsuits.	such as?
such as?	yesterday, a woman complained about a cell phone she bought on ebay.
yesterday, a woman complained about a cell phone she bought on ebay.	was something wrong with the phone?
was something wrong with the phone?	it works only in canada.
it works only in canada.	did the seller know that?
did the seller know that?	yes, and he didn't tell the buyer.
yes, and he didn't tell the buyer.	i hope judge judy made the seller take the phone back.
that woman is a very good singer.	yes, but she looks like a man.
yes, but she looks like a man.	what difference does it make?
what difference does it make?	female singers are supposed to be pretty.
female singers are supposed to be pretty.	singers are supposed to sound good.
singers are supposed to sound good.	they should look good, too.
they should look good, too.	there are lots of ugly men singers.
there are lots of ugly men singers.	men singers don't have to look good.
men singers don't have to look good.	then neither do women singers.
then neither do women singers.	well, i would never buy her cd.
well, i would never buy her cd.	but you would buy her cd if she was pretty?
but you would buy her cd if she was pretty?	yes. i would buy all of her cds.
all the tv stations are going to go digital.	yes, that will occur next month.
yes, that will occur next month.	most of them are already broadcasting in digital.
most of them are already broadcasting in digital.	the digital signal is very clear.
the digital signal is very clear.	oh, no, it isn't!
oh, no, it isn't!	what do you mean?
what do you mean?	i can't get a single channel.
i can't get a single channel.	do you have a digital tv?
do you have a digital tv?	of course. but i don't have cable.
of course. but i don't have cable.	you don't need to have cable, but you do need a good antenna.
you don't need to have cable, but you do need a good antenna.	but i have rabbit ears.
but i have rabbit ears.	rabbit ears aren't strong enough. buy a digital antenna.
i've got a date for you.	oh, really?
oh, really?	are you interested?
are you interested?	maybe. what is she like?
maybe. what is she like?	she's got a great personality.
she's got a great personality.	uh-oh. that means that she's fat and ugly.
uh-oh. that means that she's fat and ugly.	she's cute.
she's cute.	okay, so she's not ugly; she's just fat.
okay, so she's not ugly; she's just fat.	she weighs 98 pounds.
she weighs 98 pounds.	okay, she's not fat. so what's the problem with her?
okay, she's not fat. so what's the problem with her?	who said there is a problem with her?
who said there is a problem with her?	the problem is she has no problemsÂ—she's too good for me!
i think you're very pretty.	thank you.
thank you.	would you have dinner with me?
would you have dinner with me?	i would like to.
i would like to.	can i pick you up friday night?
can i pick you up friday night?	what time?
what time?	eight o'clock.
eight o'clock.	that sounds great.
that sounds great.	we'll go to a french restaurant.
we'll go to a french restaurant.	i've never been to a french restaurant.
i've never been to a french restaurant.	i think you'll love the food.
i think you'll love the food.	i'm not going to eat any snails!
you have pretty eyes.	thank you. so do you.
thank you. so do you.	i wish my eyes were blue.
i wish my eyes were blue.	what's the matter with green eyes?
what's the matter with green eyes?	nothing, except my favorite color is blue.
nothing, except my favorite color is blue.	maybe in your next life you'll have blue eyes.
maybe in your next life you'll have blue eyes.	but what if i'm a fish in my next life?
but what if i'm a fish in my next life?	i think some fish have blue eyes.
i think some fish have blue eyes.	i hope i don't come back as a fish.
i hope i don't come back as a fish.	i hope i come back as a cat.
i hope i come back as a cat.	cats have beautiful eyes.
cats have beautiful eyes.	i would love to have blue cat-eyes.
i love you.	i love you, too.
i love you, too.	i loved you the first day i saw you.
i loved you the first day i saw you.	it was love at first sight?
it was love at first sight?	yes, it was love at first sight.
yes, it was love at first sight.	i didn't love you at first.
i didn't love you at first.	i know. i had to chase you for a while.
i know. i had to chase you for a while.	yes, you chased me and then you caught me.
yes, you chased me and then you caught me.	now you're mine forever.
now you're mine forever.	and you're mine forever.
and you're mine forever.	we'll grow old together.
we'll grow old together.	and be happy together.
i'm in love with that girl.	have you told her?
have you told her?	of course not.
of course not.	why not?
why not?	she would laugh at me.
she would laugh at me.	how do you know?
how do you know?	because they always do.
because they always do.	maybe she's different.
maybe she's different.	they're all the same.
they're all the same.	just ask her out to dinner.
just ask her out to dinner.	and then what?
and then what?	and then she'll know that you like her.
give me a hug.	i'm not in the mood.
i'm not in the mood.	what's the matter?
what's the matter?	i saw you looking at that woman.
i saw you looking at that woman.	what woman?
what woman?	you know, that woman with the big boobs.
you know, that woman with the big boobs.	i was not looking at her.
i was not looking at her.	you were, too.
you were, too.	i'm not interested in her.
i'm not interested in her.	then why were you looking at her?
then why were you looking at her?	i was looking at something else.
i was looking at something else.	oh, really? then spend tonight looking at the sofa.
would you like to go on a blind date?	you must be joking.
you must be joking.	no, i'm serious.
no, i'm serious.	i don't want to date a blind woman.
i don't want to date a blind woman.	a blind date doesn't mean that she is blind!
a blind date doesn't mean that she is blind!	what does it mean?
what does it mean?	a blind date is a date with someone you don't know.
a blind date is a date with someone you don't know.	why would i date someone i don't even know?
why would i date someone i don't even know?	to try something new and exciting.
to try something new and exciting.	what if i don't like her?
what if i don't like her?	then you don't date her again.
i have a date tomorrow night.	really? who with?
really? who with?	a girl i met at the market.
a girl i met at the market.	you met a girl at the supermarket?
you met a girl at the supermarket?	she was standing behind me in a really slow line at the checkout counter.
she was standing behind me in a really slow line at the checkout counter.	what did you say to her?
what did you say to her?	i had two pineapples in my cart, and she asked where i had found them.
i had two pineapples in my cart, and she asked where i had found them.	she asked you about your pineapples?
she asked you about your pineapples?	i told her i had gotten the last two on the shelf, but i offered her one of mine.
i told her i had gotten the last two on the shelf, but i offered her one of mine.	that was nice of you.
that was nice of you.	she asked me how she could return the favor, so i asked her out.
she asked me how she could return the favor, so i asked her out.	sometimes a slow line can be a good thing.
did you have a date friday night?	yes, in fact, i did.
yes, in fact, i did.	who did you go out with?
who did you go out with?	a man i met in a coffee shop.
a man i met in a coffee shop.	where did you go?
where did you go?	we went to a nice restaurant.
we went to a nice restaurant.	anywhere else?
anywhere else?	then we went to a jazz club.
then we went to a jazz club.	that sounds like a nice date.
that sounds like a nice date.	yes, it was pleasant.
yes, it was pleasant.	but you won't date him again?
but you won't date him again?	no. he was nice, but there was no chemistry.
i had the worst date the other night.	what happened?
what happened?	first of all, he was half an hour late.
first of all, he was half an hour late.	that's not a good start.
that's not a good start.	then he didn't bother to apologize.
then he didn't bother to apologize.	that's rude.
that's rude.	then he drove too fast to the restaurant.
then he drove too fast to the restaurant.	that's dangerous.
that's dangerous.	i thought about getting out and taking a taxi home.
i thought about getting out and taking a taxi home.	what happened at the restaurant?
what happened at the restaurant?	we had a $40 meal, and he left a $1 tip!
we had a $40 meal, and he left a $1 tip!	i guess you can't go back to that restaurant.
i don't like that man.	why not?
why not?	he's a dirty old man.
he's a dirty old man.	what do you mean?
what do you mean?	he's old enough to be my father, yet he asked me out.
he's old enough to be my father, yet he asked me out.	well, you can't blame a man for asking.
well, you can't blame a man for asking.	he should act his age.
he should act his age.	but a lot of old people are still interested in dating.
but a lot of old people are still interested in dating.	they should find a nice hobby.
they should find a nice hobby.	just wait until you're 50 years old.
just wait until you're 50 years old.	dating will be the furthest thing from my mind.
dating will be the furthest thing from my mind.	that's what you say now. wait till you're 50.
does your girlfriend ever make you angry?	sometimes.
sometimes.	what does she do?
what does she do?	just yesterday, i told her i wouldn't trade her for all the money in the world.
just yesterday, i told her i wouldn't trade her for all the money in the world.	that was a nice thing to say.
that was a nice thing to say.	that's what i thought.
that's what i thought.	what did she say?
what did she say?	she laughed! she didn't believe me.
she laughed! she didn't believe me.	that wasn't very nice of her.
that wasn't very nice of her.	she said that nothing is more important to me than money.
she said that nothing is more important to me than money.	what did you say?
what did you say?	i told her i wouldn't trade her for any other woman in the world.
some people have good noses.	i wish i had a good nose. mine is way too big.
i wish i had a good nose. mine is way too big.	i don't mean good-looking. i mean good-smelling.
i don't mean good-looking. i mean good-smelling.	oh. but that can be a curse.
oh. but that can be a curse.	yes, because you can be too sensitive to odors.
yes, because you can be too sensitive to odors.	i'll say. my girlfriend has a nose like a drug dog.
i'll say. my girlfriend has a nose like a drug dog.	did she catch you using drugs?
did she catch you using drugs?	sort of. she knows whenever i sneak a cigarette.
sort of. she knows whenever i sneak a cigarette.	you don't need a good nose for thatÂ—cigarettes stink.
you don't need a good nose for thatÂ—cigarettes stink.	but when i sneak just one cigarette in the morning, she can smell it that evening!
but when i sneak just one cigarette in the morning, she can smell it that evening!	boy, that is a good nose.
boy, that is a good nose.	i told her she should apply for a job at customs.
let's go out to eat.	that sounds like fun.
that sounds like fun.	where do you want to go?
where do you want to go?	let me think a minute.
let me think a minute.	i feel like chinese.
i feel like chinese.	that sounds delicious.
that sounds delicious.	i know a good chinese restaurant.
i know a good chinese restaurant.	how far away is it?
how far away is it?	it's only 10 minutes from here.
it's only 10 minutes from here.	do we need reservations?
do we need reservations?	oh, no. we can walk right in.
oh, no. we can walk right in.	let's go now. i'm hungry!
i can't believe how long this line is.	this is a popular restaurant, isn't it?
this is a popular restaurant, isn't it?	yes, but it isn't a fast-food restaurant, is it?
yes, but it isn't a fast-food restaurant, is it?	it's the slowest hamburger in town.
it's the slowest hamburger in town.	that's because they cook it while you wait.
that's because they cook it while you wait.	yes. that's why it's also the best hamburger in town.
yes. that's why it's also the best hamburger in town.	a great burger and great service.
a great burger and great service.	yes, the workers are very polite.
yes, the workers are very polite.	and they're clean.
and they're clean.	i've been coming here for years.
i've been coming here for years.	me too.
me too.	excuse me. they just called my number.
lunch was delicious.	thank you.
thank you.	what kind of soup was that?
what kind of soup was that?	it was tomato soup.
it was tomato soup.	that tasted so good.
that tasted so good.	i put lemon and butter in it.
i put lemon and butter in it.	the sandwich was good, too.
the sandwich was good, too.	everyone likes bacon and tomato sandwiches.
everyone likes bacon and tomato sandwiches.	especially on toast.
especially on toast.	and the pickles were great, too.
and the pickles were great, too.	tomorrow we'll have rice and fish for lunch.
tomorrow we'll have rice and fish for lunch.	i can't wait.
i'm calling the waiter.	what's the matter?
what's the matter?	this steak has too much fat.
this steak has too much fat.	what do you want the waiter to do?
what do you want the waiter to do?	bring me a better steak.
bring me a better steak.	i wouldn't do that.
i wouldn't do that.	why not?
why not?	they will drop the new steak on the floor, step on it, and then spit on it.
they will drop the new steak on the floor, step on it, and then spit on it.	you're crazy.
you're crazy.	then the waiter will give you a big smile as he brings you the new steak.
then the waiter will give you a big smile as he brings you the new steak.	where do you get these crazy ideas?
where do you get these crazy ideas?	i used to cook in a restaurant!
let's leave.	but we just got here.
but we just got here.	did you see the waiter's hands?
did you see the waiter's hands?	no.
no.	he had dirty fingernails.
he had dirty fingernails.	really?
really?	his nails were black!
his nails were black!	that's disgusting.
that's disgusting.	and he poured water into our glasses.
and he poured water into our glasses.	yuck! no water for me.
yuck! no water for me.	i wonder if the cooks' nails are dirty, too.
i wonder if the cooks' nails are dirty, too.	who cares? let's get out of here.
this hot bread is delicious.	i like this restaurant because they give you free bread.
i like this restaurant because they give you free bread.	well, i think we are paying for it.
well, i think we are paying for it.	no. look at the bill when we get it. there's no charge for the bread.
no. look at the bill when we get it. there's no charge for the bread.	it is delicious, especially with butter.
it is delicious, especially with butter.	i think we should just leave after we fill up on the bread.
i think we should just leave after we fill up on the bread.	they probably wouldn't like that.
they probably wouldn't like that.	i'm eating so much bread that i'm getting full.
i'm eating so much bread that i'm getting full.	then stop eating the bread!
then stop eating the bread!	okay, just one more piece. pass the butter, please.
okay, just one more piece. pass the butter, please.	if i owned a restaurant, i would never serve hot bread before the main course.
if i owned a restaurant, i would never serve hot bread before the main course.	that's terrible. i would never go to your restaurant.
is this a clean restaurant?	well, the tables and chairs look okay.
well, the tables and chairs look okay.	okay, let's sit down.
okay, let's sit down.	check out the silverware.
check out the silverware.	it passes inspection.
it passes inspection.	here comes the waiter. see if his hands and nails are clean.
here comes the waiter. see if his hands and nails are clean.	well, the waiter looked clean, so i guess it's okay to eat here.
well, the waiter looked clean, so i guess it's okay to eat here.	you're forgetting about the bathroom.
you're forgetting about the bathroom.	i'm going to just hope that the bathroom is clean.
i'm going to just hope that the bathroom is clean.	you're not going to examine it before we order dinner?
you're not going to examine it before we order dinner?	no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.
no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.	me, too. let's forget about germs and focus on food.
have you seen our waiter?	here he comes now.
here he comes now.	we've been sitting here for almost 10 minutes.
we've been sitting here for almost 10 minutes.	oops, i guess i was wrong. that isn't our waiter.
oops, i guess i was wrong. that isn't our waiter.	we can give him five more minutes, and then leave.
we can give him five more minutes, and then leave.	i'll go up front and talk to the manager.
i'll go up front and talk to the manager.	that's a good idea.
that's a good idea.	maybe they'll give us free drinks for waiting so long.
maybe they'll give us free drinks for waiting so long.	maybe he'll send us our waiter immediately.
maybe he'll send us our waiter immediately.	every time we eat out, it's an adventure.
every time we eat out, it's an adventure.	last time, we got seats next to the kitchen.
last time, we got seats next to the kitchen.	we'll never go there again.
is this table okay?	no, it's too close to the kitchen door.
no, it's too close to the kitchen door.	how about this table?
how about this table?	no, it's too close to the front door.
no, it's too close to the front door.	this looks like a nice table.
this looks like a nice table.	no, it's too close to the salad bar.
no, it's too close to the salad bar.	okay, i give up.
okay, i give up.	well, there is one good table.
well, there is one good table.	great. which one?
great. which one?	that one. a group of eight just sat down at it.
i don't believe the art world.	what is it this time?
what is it this time?	an andy warhol drawing.
an andy warhol drawing.	he's a famous artist.
he's a famous artist.	he drew two butterflies and a flower on a napkin in a restaurant.
he drew two butterflies and a flower on a napkin in a restaurant.	did he sign it?
did he sign it?	yes.
yes.	is it beautiful?
is it beautiful?	it's just black ink on a white napkin. and the napkin has food stains!
it's just black ink on a white napkin. and the napkin has food stains!	so it's not worth much?
so it's not worth much?	only about $30,000.
only about $30,000.	without the food stains, it would probably be worth more.
can we go to the baseball game?	of course.
of course.	i love baseball.
i love baseball.	so do i.
so do i.	i love to eat the peanuts.
i love to eat the peanuts.	i love to eat the hot dogs.
i love to eat the hot dogs.	i hope we'll see a home run.
i hope we'll see a home run.	i hope we'll catch a foul ball.
i hope we'll catch a foul ball.	bring a jacket.
bring a jacket.	yes. it gets a little cool at night.
yes. it gets a little cool at night.	bring a glove to catch a foul ball.
bring a glove to catch a foul ball.	no. i'll just use my cap to catch a foul ball.
golf is a silly game.	it certainly is.
it certainly is.	you hit a white ball.
you hit a white ball.	and then you chase it.
and then you chase it.	and then you hit it again.
and then you hit it again.	finally, you put the ball into a hole in the ground.
finally, you put the ball into a hole in the ground.	you do this 18 times, because there are 18 holes.
you do this 18 times, because there are 18 holes.	what's the point?
what's the point?	how can it be fun?
how can it be fun?	they pay money to play this silly game!
they pay money to play this silly game!	i think golfers have a mental problem.
i think golfers have a mental problem.	i think they're nuts.
do you want to go fishing?	yes. that's a good idea.
yes. that's a good idea.	where do you want to go?
where do you want to go?	we can go to the river.
we can go to the river.	or we can go to the lake.
or we can go to the lake.	or we can go to the ocean.
or we can go to the ocean.	let's go to the lake.
let's go to the lake.	yes. the lake is only 10 miles away.
yes. the lake is only 10 miles away.	we can be there in 20 minutes.
we can be there in 20 minutes.	i'll get our fishing rods.
i'll get our fishing rods.	i'll get the bait.
i'll get the bait.	we'll have fresh fish for dinner!
baseball is fun.	i like to hit the ball.
i like to hit the ball.	i like to run around the bases.
i like to run around the bases.	i like to slide into the bases.
i like to slide into the bases.	yeah. it's a lot of fun to slide.
yeah. it's a lot of fun to slide.	i want to be a baseball player when i grow up.
i want to be a baseball player when i grow up.	me too. i want to play for the yankees.
me too. i want to play for the yankees.	not me. i want to play for the dodgers.
not me. i want to play for the dodgers.	we have to practice every day.
we have to practice every day.	i don't like practice.
i don't like practice.	me neither. it's boring.
me neither. it's boring.	but practice makes perfect.
let's go jogging.	that's a good idea.
that's a good idea.	i bought some new shoes.
i bought some new shoes.	are they comfortable?
are they comfortable?	they're very comfortable.
they're very comfortable.	how much were they?
how much were they?	they were on sale for $80.
they were on sale for $80.	do they help you run faster?
do they help you run faster?	no, but my feet don't hurt anymore.
no, but my feet don't hurt anymore.	then they're worth every penny.
then they're worth every penny.	you might want to buy a pair.
you might want to buy a pair.	i'll wait until i wear this pair out.
tiger is the greatest golfer in the world.	you can say that again.
you can say that again.	but i'm worried about tiger.
but i'm worried about tiger.	why is that?
why is that?	because he likes to scuba dive.
because he likes to scuba dive.	what's wrong with that?
what's wrong with that?	it can be dangerous.
it can be dangerous.	you mean he could drown.
you mean he could drown.	he shouldn't scuba dive until he retires.
he shouldn't scuba dive until he retires.	but he dives to relax.
but he dives to relax.	he might relax, but it makes me nervous.
he might relax, but it makes me nervous.	if his wife doesn't mind, you shouldn't mind.
did you watch that golf tournament?	the one that tiger won?
the one that tiger won?	how did he do it?
how did he do it?	it was nothing for him.
it was nothing for him.	he sank a 20-foot putt on the last hole to win by one stroke!
he sank a 20-foot putt on the last hole to win by one stroke!	he sank a 25-footer last year at the same tournament to win by one stroke.
he sank a 25-footer last year at the same tournament to win by one stroke.	i think he is from outer space.
i think he is from outer space.	no human could possibly play golf that well.
no human could possibly play golf that well.	whenever he needs a shot to win a tournament, he makes that shot.
whenever he needs a shot to win a tournament, he makes that shot.	no human can do that.
no human can do that.	somebody should check his birth record.
somebody should check his birth record.	i bet it says he was born on mars.
who's the greatest baseball player?	there are so many great players.
there are so many great players.	yes, but who is the greatest?
yes, but who is the greatest?	i'd have to say babe ruth.
i'd have to say babe ruth.	most people would say that.
most people would say that.	he changed the game.
he changed the game.	yes, he made the home run popular.
yes, he made the home run popular.	everybody loved him, all over the nation.
everybody loved him, all over the nation.	he helped make the yankees the best team ever.
he helped make the yankees the best team ever.	and ruth was a good person, too.
and ruth was a good person, too.	he always visited hospitals to cheer up sick kids.
he always visited hospitals to cheer up sick kids.	there will never be another babe.
did you hear what happened at the baseball game?	no, please tell me.
no, please tell me.	someone punched out someone.
someone punched out someone.	that's not nice.
that's not nice.	it's worse than that.
it's worse than that.	how so?
how so?	two guys got into an argument.
two guys got into an argument.	i'll bet they were drinking.
i'll bet they were drinking.	a third guy punched one of the two guys.
a third guy punched one of the two guys.	i'll bet he was drinking, too.
i'll bet he was drinking, too.	the victim hit his head on the concrete steps and died.
the victim hit his head on the concrete steps and died.	that's terrible. can't people just have fun at a baseball game?
i want to go to the ball game.	is there a game tonight?
is there a game tonight?	yes, it starts at 7 p.m.
yes, it starts at 7 p.m.	can we get tickets?
can we get tickets?	yes, but only the cheap tickets.
yes, but only the cheap tickets.	how much are they?
how much are they?	they're only $5 each.
they're only $5 each.	that's a good price.
that's a good price.	yes, it's cheaper than a hot dog or a beer.
yes, it's cheaper than a hot dog or a beer.	where are the seats?
where are the seats?	they're behind the outfield.
they're behind the outfield.	maybe we can catch a home run ball.
golf is so hard.	what's so hard about hitting a little white ball?
what's so hard about hitting a little white ball?	it's hard if you want to do it right.
it's hard if you want to do it right.	you mean like tiger?
you mean like tiger?	no, like a good amateur golfer.
no, like a good amateur golfer.	what's so hard about golf?
what's so hard about golf?	there are so many things you have to do right.
there are so many things you have to do right.	like what?
like what?	like keep your left arm straight, keep your head down, and follow through.
like keep your left arm straight, keep your head down, and follow through.	yikes! who can remember all that?
yikes! who can remember all that?	you need to get a lot of lessons when you're really young.
